,company,title,salary,location,date
2627,NOODLE ANALYTICS INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",02/18/2020
2628,NOODLE ANALYTICS INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",02/18/2020
2629,NOODLE ANALYTICS INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",02/20/2020
2630,QUANTCAST CORPORATION,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",02/28/2020
2631,ANCHOR LABS INC,DATA SCIENTIST,"119,000","SAN FRANCISCO, CA",12/03/2019
2632,DROPBOX INC,DATA SCIENTIST,"119,000","SAN FRANCISCO, CA",04/27/2021
2633,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,100","SAN FRANCISCO, CA",01/09/2019
2634,GLASSDOOR INC,DATA SCIENTIST,"119,108","SAN FRANCISCO, CA",03/20/2017
2635,AKTANA INC,DATA SCIENTIST,"119,122","SAN FRANCISCO, CA",02/13/2020
2636,STITCH FIX INC,DATA SCIENTIST,"119,205","SAN FRANCISCO, CA",02/13/2015
2637,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,454","SAN FRANCISCO, CA",01/09/2017
2638,SALESFORCECOM INC,DATA SCIENTIST,"119,454","SAN FRANCISCO, CA",02/09/2017
2639,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,454","SAN FRANCISCO, CA",01/13/2017
2640,SQUARE INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",11/29/2016
2641,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",03/14/2017
2642,SALESFORCECOM INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",02/22/2017
2643,DROPBOX INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",02/27/2017
2644,SALESFORCECOM INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",03/04/2017
2645,DROPBOX INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",03/06/2017
2646,SALESFORCECOM INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",02/02/2017
2647,LINKEDIN CORPORATION,DATA SCIENTIST,"119,802","SAN FRANCISCO, CA",02/17/2020
2648,CONCUR TECHNOLOGIES INC,DATA SCIENTIST,"119,877","SAN FRANCISCO, CA",03/08/2022
2649,ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/21/2020
2650,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/06/2020
2651,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",10/07/2020
2652,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",10/07/2020
2653,FLOWCAST INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/02/2018
2654,KABBAGE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",11/20/2014
2655,MYFITNESSPAL INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",12/03/2015
2656,RADIUMONE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/03/2016
2657,ADLAST INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/09/2016
2658,VESTED FINANCE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/11/2016
2659,VESTED FINANCE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/31/2016
2660,UBIOME INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",06/14/2016
2661,KABBAGE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",12/09/2014
2662,SHIPT INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",11/19/2020
2663,CLARIFY HEALTH SOLUTIONS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",08/27/2019
2664,ICUEMOTION LLC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/14/2017
2665,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/06/2020
2666,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/07/2020
2667,SHORELINE LABS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/10/2020
2668,AUTODESK INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/08/2020
2669,TAWKIFY INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",05/07/2021
2670,DATABRICKS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/16/2017
2671,DATABRICKS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/16/2017
2672,SHORELINE LABS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/15/2020
2673,UBER TECHNOLOGIES INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",05/25/2021
2674,AMINO INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/21/2018
2675,FACEBOOK INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",05/05/2020
2676,UNCOUNTABLE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",01/24/2020
2677,UNCOUNTABLE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/04/2020
2678,SOCIAL FINANCE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/05/2020
2679,KOMODO HEALTH INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/09/2018
2680,CONTEXTLOGIC INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/22/2017
2681,EXTEND INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/09/2021
2682,ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/21/2020
2683,ICUEMOTION LLC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/01/2017
2684,ICUEMOTION LLC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/01/2017
