,company,title,salary,location,date
2722,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,454","SAN FRANCISCO, CA",01/09/2017
2723,SALESFORCECOM INC,DATA SCIENTIST,"119,454","SAN FRANCISCO, CA",02/09/2017
2724,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,454","SAN FRANCISCO, CA",01/13/2017
2725,SQUARE INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",11/29/2016
2726,UBER TECHNOLOGIES INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",03/14/2017
2727,SALESFORCECOM INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",02/22/2017
2728,DROPBOX INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",02/27/2017
2729,SALESFORCECOM INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",03/04/2017
2730,DROPBOX INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",03/06/2017
2731,SALESFORCECOM INC,DATA SCIENTIST,"119,642","SAN FRANCISCO, CA",02/02/2017
2732,LINKEDIN CORPORATION,DATA SCIENTIST,"119,802","SAN FRANCISCO, CA",02/17/2020
2733,CONCUR TECHNOLOGIES INC,DATA SCIENTIST,"119,877","SAN FRANCISCO, CA",03/08/2022
2734,ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/21/2020
2735,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/06/2020
2736,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",10/07/2020
2737,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",10/07/2020
2738,FLOWCAST INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/02/2018
2739,KABBAGE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",11/20/2014
2740,MYFITNESSPAL INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",12/03/2015
2741,RADIUMONE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/03/2016
2742,ADLAST INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/09/2016
2743,VESTED FINANCE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/11/2016
2744,VESTED FINANCE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/31/2016
2745,UBIOME INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",06/14/2016
2746,KABBAGE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",12/09/2014
2747,SHIPT INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",11/19/2020
2748,CLARIFY HEALTH SOLUTIONS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",08/27/2019
2749,ICUEMOTION LLC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/14/2017
2750,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/06/2020
2751,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/07/2020
2752,SHORELINE LABS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/10/2020
2753,AUTODESK INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/08/2020
2754,TAWKIFY INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",05/07/2021
2755,DATABRICKS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/16/2017
2756,DATABRICKS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/16/2017
2757,SHORELINE LABS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/15/2020
2758,UBER TECHNOLOGIES INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",05/25/2021
2759,AMINO INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/21/2018
2760,FACEBOOK INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",05/05/2020
2761,UNCOUNTABLE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",01/24/2020
2762,UNCOUNTABLE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/04/2020
2763,SOCIAL FINANCE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/05/2020
2764,KOMODO HEALTH INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/09/2018
2765,CONTEXTLOGIC INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/22/2017
2766,EXTEND INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/09/2021
2767,ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/21/2020
2768,ICUEMOTION LLC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/01/2017
2769,ICUEMOTION LLC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/01/2017
2770,FLOWCOMMAND INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/15/2019
2771,FLYR INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/05/2020
2772,FLYR INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/05/2020
2773,FLYR INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/10/2020
2774,FLYR INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/10/2020
2775,FLOWCAST INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/01/2018
2776,ALIVECOR INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/06/2015
2777,GETAROUND INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",04/14/2021
2778,ALSO ENERGY INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/18/2019
2779,DATABRICKS INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/06/2019
2780,CREDIT KARMA INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/07/2018
2781,NEXTDOORCOM INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",02/18/2016
2782,KOMODO HEALTH INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",03/06/2018
2783,UNCOUNTABLE INC,DATA SCIENTIST,"120,000","SAN FRANCISCO, CA",01/19/2020
2784,STITCH FIX INC,DATA SCIENTIST,"120,432","SAN FRANCISCO, CA",01/10/2018
2785,STITCH FIX INC,DATA SCIENTIST,"120,432","SAN FRANCISCO, CA",11/02/2017
2786,SHIPT INC,DATA SCIENTIST,"120,750","SAN FRANCISCO, CA",04/11/2022
2787,IT AMERICA INC,DATA SCIENTIST,"120,931","SAN FRANCISCO, CA",05/10/2021
2788,AKTANA INC,DATA SCIENTIST,"120,931","SAN FRANCISCO, CA",02/02/2021
2789,CONTEXTLOGIC INC,DATA SCIENTIST,"121,077","SAN FRANCISCO, CA",02/06/2019
2790,BLUESHIFT LABS INC,DATA SCIENTIST,"121,077","SAN FRANCISCO, CA",03/27/2019
2791,UBER TECHNOLOGIES INC,DATA SCIENTIST,"121,085","SAN FRANCISCO, CA",12/03/2018
2792,S&P GLOBAL MARKET INTELLIGENCE INC,DATA SCIENTIST,"121,200","SAN FRANCISCO, CA",01/27/2022
2793,S&P GLOBAL MARKET INTELLIGENCE INC,DATA SCIENTIST,"121,200","SAN FRANCISCO, CA",02/04/2022
2794,PINTEREST INC,DATA SCIENTIST,"121,700","SAN FRANCISCO, CA",04/01/2022
2795,I2U SYSTEMS INC,DATA SCIENTIST,"121,763","SAN FRANCISCO, CA",01/11/2022
2796,INDEED INC,DATA SCIENTIST,"121,805","SAN FRANCISCO, CA",03/07/2019
2797,INDEED INC,DATA SCIENTIST,"121,805","SAN FRANCISCO, CA",03/07/2019
2798,INDEED INC,DATA SCIENTIST,"121,805","SAN FRANCISCO, CA",03/07/2019
2799,UBER TECHNOLOGIES INC,DATA SCIENTIST,"121,805","SAN FRANCISCO, CA",01/28/2019
2800,UBER TECHNOLOGIES INC,DATA SCIENTIST,"121,805","SAN FRANCISCO, CA",11/29/2018
2801,UBER TECHNOLOGIES INC,DATA SCIENTIST,"121,805","SAN FRANCISCO, CA",12/28/2018
2802,MICROSOFT CORPORATION,DATA SCIENTIST,"121,900","SAN FRANCISCO, CA",11/07/2014
2803,THE CLIMATE CORPORATION,DATA SCIENTIST,"122,000","SAN FRANCISCO, CA",04/15/2020
2804,AFFIRM INC,DATA SCIENTIST,"122,000","SAN FRANCISCO, CA",03/05/2019
2805,INDEED INC,DATA SCIENTIST,"122,429","SAN FRANCISCO, CA",02/06/2018
2806,UBER TECHNOLOGIES INC,DATA SCIENTIST,"122,600","SAN FRANCISCO, CA",09/29/2021
2807,MICROSOFT CORPORATION,DATA SCIENTIST,"122,800","SAN FRANCISCO, CA",10/15/2014
2808,ZILLOW INC,DATA SCIENTIST,"122,824","SAN FRANCISCO, CA",01/31/2018
2809,ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"122,824","SAN FRANCISCO, CA",03/06/2018
2810,UNITY TECHNOLOGIES SF,DATA SCIENTIST,"122,824","SAN FRANCISCO, CA",02/12/2018
2811,MYVEST CORPORATION,DATA SCIENTIST,"123,505","SAN FRANCISCO, CA",04/07/2021
2812,RALLY HEALTH INC,DATA SCIENTIST,"124,000","SAN FRANCISCO, CA",04/28/2021
2813,LYFT INC,DATA SCIENTIST,"124,000","SAN FRANCISCO, CA",11/03/2016
2814,CISCO SYSTEMS INC,DATA SCIENTIST,"124,000","SAN FRANCISCO, CA",03/07/2022
2815,UBER TECHNOLOGIES INC,DATA SCIENTIST,"124,000","SAN FRANCISCO, CA",01/26/2021
2816,UBER TECHNOLOGIES INC,DATA SCIENTIST,"124,527","SAN FRANCISCO, CA",02/05/2020
2817,SAP LABS LLC,DATA SCIENTIST,"124,693","SAN FRANCISCO, CA",01/06/2022
2818,LEVI STRAUSS & CO,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",10/20/2017
2819,VUNGLE INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",02/22/2019
2820,ENTELO INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",07/05/2016
2821,OPENDOOR LABS INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/09/2018
2822,THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",11/27/2019
2823,NOODLE ANALYTICS INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/20/2018
2824,DROPBOX INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",11/14/2018
2825,PROSPER MARKETPLACE INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",04/05/2019
2826,THE CLIMATE CORPORATION,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",05/19/2021
2827,LEVI STRAUSS & CO,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",10/25/2017
2828,LYFT INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",08/23/2018
2829,E I DU PONT DE NEMOURS AND COMPANY,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",02/28/2018
2830,CIRCLE INTERNET FINANCIAL INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",02/20/2017
2831,FIRST REPUBLIC BANK,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/10/2021
2832,SQUARE INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",02/20/2020
